Protein	Gene	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
Isoform 2 of Eukaryotic translation initiation factor 3 subunit J	EIF3J	22.5509	23.16119	23.53458	24.06288	23.41309	23.80126	22.30179	21.44652	23.31649	22.23475	23.48388	23.88635	23.07959	23.55138	22.0546	22.92756	20.35797	23.35047	23.46576	23.11711	22.40032	23.37997	22.90135	23.09704	20.04494	22.74389	23.39428	24.56816	23.51258	23.58925	22.46346	22.98573
Isocitrate dehydrogenase [NADP] cytoplasmic	IDH1	27.50992	27.2842	28.124	27.7338	27.40765	27.88961	27.58494	27.20576	28.26663	27.82945	28.60393	28.2364	28.20345	28.29941	28.17393	27.08758	28.23936	28.1231	28.56309	28.50388	27.88915	28.03614	28.37442	27.25228	27.39289	27.89496	27.9808	27.92355	27.67492	28.01309	27.60938	27.21588
Cytosolic 10-formyltetrahydrofolate dehydrogenase	ALDH1L1	19.64292	19.89442	19.76023	21.27559	21.20384	20.28633	21.36441	23.61813	20.47915	18.49648	20.2939	21.71557	22.15462	21.18175	20.45222	20.42739	21.18756	21.44985	20.10239	19.04524	22.84464	19.56686	17.60568	17.88934	22.05985	19.76098	19.71472	19.56877	21.51591	20.08371	20.43155	18.44467
Tumor suppressor candidate 2	TUSC2	20.8259	21.48925	19.16238	20.02167	20.47516	20.07367	20.18168	21.6837	21.2198	21.11832	21.71775	19.69295	22.03943	18.9243	22.02697	21.58783	21.18638	21.49829	22.21561	20.5938	21.59969	19.99725	21.86825	21.35816	20.58507	21.66275	20.9714	20.34531	20.99651	19.56777	21.35577	21.84042
Gamma-aminobutyric acid type B receptor subunit 2	GABBR2	22.68887	18.88159	22.40979	20.68299	19.55308	19.83748	22.23579	22.10117	20.51693	21.45683	22.30911	21.21542	22.51628	22.67835	20.59723	23.21461	22.1773	22.47444	22.62411	19.42679	22.95117	22.63203	22.71372	23.53552	21.80568	19.59218	19.36423	18.77073	22.88999	22.72453	22.82525	23.75758
Serine/threonine-protein kinase PAK 3	PAK3	21.49795	20.84152	21.897	21.4392	21.73843	22.00966	22.85474	22.43476	21.41297	22.10929	21.63911	21.63658	21.79207	21.90089	21.65566	22.51777	22.44075	21.73875	21.58634	21.81774	21.53762	22.50611	21.38896	21.55029	21.6874	22.07368	22.20042	21.49483	21.61457	22.22073	21.80674	22.13519
PRA1 family protein 3	ARL6IP5	24.34261	24.31652	24.19344	24.16573	23.53828	26.35787	23.99203	24.1303	25.49525	25.71828	25.60627	26.12404	25.33012	26.02536	26.41784	25.85985	24.06674	25.32508	25.63708	25.9303	25.33737	26.19707	26.22351	26.07048	23.73084	24.33824	25.53305	25.15334	25.56173	25.78991	25.65086	25.9319
Pre-mRNA-splicing factor SPF27	BCAS2	24.26767	23.66851	24.44103	24.4974	23.79015	23.96828	21.20031	19.95843	23.79148	22.86159	22.83207	22.30876	22.01985	21.84053	22.39684	23.35998	23.29295	23.30089	22.71413	20.24382	22.98069	20.17534	23.36062	19.54849	23.49094	23.25479	24.35574	24.48009	23.32959	23.711	23.35267	22.99926
Dynactin subunit 3	DCTN3	25.36406	25.27847	24.78477	25.29146	25.21956	23.8706	24.67513	26.23483	25.66948	24.3586	25.28209	24.99604	25.34288	24.82392	24.72715	24.79873	25.48097	25.03964	25.00447	23.8983	25.30497	25.09156	25.27798	24.5183	24.54285	24.26359	25.06429	24.18031	25.51995	24.4403	25.5159	24.62063
DnaJ homolog subfamily C member 8	DNAJC8	24.80243	24.86139	25.61107	25.51914	25.45832	25.22311	21.46198	19.37767	23.9402	24.35109	22.90165	24.49434	22.63275	20.70597	21.99435	22.09338	21.12086	23.1992	22.81377	23.29039	22.70763	21.79054	21.80468	22.10904	21.78927	21.94508	24.52075	24.97763	23.90012	23.97804	23.637	22.08827
"Isoform 2 of ATP synthase subunit d, mitochondrial"	ATP5H	24.19254	23.82709	24.6047	25.65506	23.6404	24.30136	22.2002	23.82282	24.0138	24.36526	24.3869	25.12113	24.33307	25.10835	23.96512	24.72598	23.61868	24.2455	24.61009	25.08886	24.45827	25.21502	24.20555	25.30653	20.75638	23.83604	25.51363	25.62072	24.43819	25.70642	24.43476	25.4498
Flotillin-1	FLOT1	23.87054	23.82452	24.59227	25.02475	23.97041	25.17738	24.4651	25.01836	24.81261	24.98713	25.50415	25.74841	24.82943	25.7563	24.75314	25.60678	24.44339	25.24766	25.24253	25.72435	25.202	25.39989	25.38575	25.6068	23.65371	23.43314	24.12301	23.8836	24.12302	24.76299	24.58182	25.2639
Isoform 5 of Triple functional domain protein	TRIO	21.87773	22.5518	22.51662	23.73464	22.68305	22.82226	24.78706	25.32761	26.10494	25.99262	26.56532	25.49279	25.86399	26.55182	26.60098	26.4904	25.88496	26.70675	26.76993	26.8803	25.94895	26.87801	26.37503	26.84278	24.73876	25.96038	26.07062	26.12171	25.93124	25.69702	26.37782	26.33799
"ATP synthase subunit g, mitochondrial"	ATP5L	20.18173	20.09816	22.25109	24.75403	21.62072	22.43951	20.74753	25.84883	21.67243	22.48405	23.94395	24.72268	22.28976	23.84375	22.63132	23.6576	25.31161	21.56332	23.41245	24.36027	22.91765	23.93911	22.10425	22.06005	24.7678	22.82951	23.51541	24.9891	22.78885	23.75706	23.2565	21.95656
Glutaredoxin-3	GLRX3	27.00963	26.05265	26.48582	26.11428	25.30815	24.43505	24.6726	24.90908	27.66276	27.42885	26.38551	24.26689	25.73367	25.13338	26.93656	25.89981	25.76049	27.42652	26.80355	25.86217	25.29678	23.55519	25.03285	26.27448	26.2416	24.8209	26.41497	20.78399	25.45002	24.62522	24.98445	26.20367
Ribosomal L1 domain-containing protein 1 (Fragment)	RSL1D1	22.44341	21.58076	22.75166	24.38591	21.909	22.79461	23.00356	22.27246	22.64759	21.66419	21.52016	21.77262	21.09094	19.45815	19.19179	21.23929	23.68443	21.44907	21.53704	21.13853	20.11908	21.48236	20.1225	18.16605	23.47643	22.58001	22.80736	23.28403	21.87436	22.48309	21.39023	21.60096
Secretagogin	SCGN	20.13971	24.04214	23.47741	24.59834	25.38954	24.15108	26.81763	27.51652	23.22601	24.22328	22.85482	22.34142	22.08165	23.56525	22.77861	22.72983	21.84455	21.40873	21.92614	22.30494	22.05069	24.16441	21.58603	23.51757	23.27155	22.82614	23.9492	21.97902	22.25988	23.43452	23.27395	23.48291
Delta(14)-sterol reductase (Fragment)	TM7SF2	22.54432	21.72828	22.84324	19.80987	22.62187	23.43097	21.36496	22.81623	22.50972	22.3788	22.53418	20.88018	22.35741	22.89776	23.14453	22.06927	20.74544	21.98291	22.50533	23.09139	22.5129	22.42439	22.44062	22.3298	21.25041	23.02938	22.81631	22.75746	22.96585	23.09108	22.70594	22.70828
Gamma-synuclein	SNCG	19.66277	22.44415	21.51152	21.02188	21.31739	23.28405	20.59651	21.33933	22.55812	22.71252	20.53591	21.7263	21.83961	24.38106	22.01099	25.32222	21.3308	22.26565	22.17618	22.29882	22.31396	23.01575	20.41151	23.76354	20.48507	22.0309	21.16968	23.06732	20.61235	22.24676	22.36342	24.17414
"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"	DDAH1	28.56934	28.39303	28.2731	27.81501	28.81444	28.90124	29.08075	29.40841	28.36261	27.45238	27.56362	28.10667	28.19168	28.58033	28.26908	28.5796	26.59031	27.72919	27.16622	27.23565	27.31696	27.74791	28.58189	28.17214	24.96985	26.87496	26.0816	26.0279	26.79638	27.39033	27.67745	28.20449
Lymphocyte antigen 6H	LY6H	24.34747	23.49448	22.99419	20.28105	23.24406	21.46667	24.21734	23.04398	24.7142	24.30669	24.84295	21.48428	24.83163	24.1419	24.89713	26.14461	24.16951	24.95972	25.68634	22.86927	25.72862	25.18751	25.74137	27.07811	24.39882	23.87653	24.22439	20.90205	24.76634	23.55251	25.08309	26.04079
Metastasis-associated protein MTA2	MTA2	23.83366	23.70408	23.46314	23.96502	23.35728	23.08029	21.97057	22.57089	23.70115	22.82909	22.98195	22.69806	23.02052	21.37225	21.32229	21.1703	24.12521	23.7842	23.20184	22.83384	22.55995	20.43119	17.98038	19.15319	23.19803	23.89656	24.81792	24.42374	24.21819	23.46579	23.37608	22.68895
Actin-like protein 6B	ACTL6B	20.05192	19.61244	18.97832	20.56756	21.13859	20.96313	21.76747	19.92573	20.35074	20.38794	18.87225	20.42503	20.15447	22.57228	20.04485	18.73409	21.77885	18.94807	20.12868	19.96198	20.47425	21.28125	18.22441	19.45718	20.20084	22.02837	22.25689	18.70541	21.46814	20.16754	20.52047	19.66888
Tubulin polymerization-promoting protein	TPPP	23.00029	21.23038	22.65652	22.72858	22.34343	24.357	23.27636	24.44316	23.49168	23.83857	25.47262	22.37723	24.74627	26.21601	25.99512	26.18285	22.72748	23.74681	26.08265	24.20656	25.0215	26.41393	25.44427	26.60408	22.91909	21.66865	25.37904	24.53096	24.26837	24.7331	24.97936	26.11075
Kelch repeat and BTB domain-containing protein 11	KBTBD11	24.1873	25.04552	25.70522	26.20531	25.36086	25.59501	24.5664	27.08608	26.53369	26.71146	27.39865	27.06244	26.73499	27.47742	27.01163	26.90599	28.10172	27.30087	27.59981	27.20493	27.18292	27.34443	27.29142	26.55343	26.99294	27.32828	27.51378	27.36648	27.01318	27.17259	26.88053	26.64923
Mitochondrial import receptor subunit TOM70	TOMM70A	22.72198	22.76836	23.82287	24.27522	22.60554	23.49778	24.42285	25.62846	23.42325	24.13404	23.79019	24.14245	23.80214	24.01577	23.58367	22.48257	25.33447	23.81781	23.88416	24.71293	23.51258	23.86671	23.75261	23.97415	24.46619	25.13251	23.7402	24.41673	23.87636	24.09692	24.19538	24.43437
Isoform 10 of Neurofascin	NFASC	23.69642	21.69496	20.86765	21.44955	24.56967	20.4502	23.0797	26.32684	26.65306	26.59185	26.25007	26.66878	26.6539	25.96005	26.53443	27.29562	26.16528	26.87085	26.70383	26.44912	27.09854	26.29385	26.93589	27.14363	25.34193	25.68519	25.95756	26.44259	26.4392	26.41487	26.56979	26.97355
Isoform 3 of E3 UFM1-protein ligase 1	UFL1	18.95576	21.3177	20.75757	22.6911	18.53603	21.2898	20.36373	20.51989	22.51688	20.02394	21.81112	22.41227	19.93782	20.1446	21.32306	20.89119	19.73216	21.08492	21.28071	21.48861	20.39895	20.98808	21.63921	20.44536	18.95197	20.28679	21.90845	21.46498	21.10278	20.83768	19.85021	21.27278
UBX domain-containing protein 7	UBXN7	19.64783	21.50969	22.44827	21.13866	22.06277	19.32042	21.0574	20.88599	21.55862	20.93254	21.01058	21.11057	21.69526	19.08813	19.49853	18.93209	21.92665	20.78076	21.47421	21.6413	20.6274	19.70779	18.7744	20.41555	21.8475	21.53469	22.47934	21.83343	21.49096	21.97173	21.55757	20.24574
Proline synthase co-transcribed bacterial homolog protein	PROSC	23.92893	24.20209	24.41676	24.96872	24.42716	24.2629	20.28634	24.07227	23.88278	24.55787	24.60201	24.14687	24.06299	24.09099	24.18483	23.08099	23.65851	23.64006	23.56882	23.85921	23.3723	24.22079	23.19532	23.1924	21.42773	23.26044	22.59661	23.5208	23.44	23.80308	23.19125	23.29555
Erlin-2 (Fragment)	ERLIN2	22.85492	19.22882	22.74341	22.42659	19.81237	23.20009	20.76434	21.1959	21.71674	19.25062	22.02962	20.25786	21.4339	21.05709	21.45674	18.73717	19.98669	20.96042	20.08712	21.79411	20.26863	19.06184	19.69527	21.82372	21.09281	20.68829	21.68965	21.14158	21.18828	20.21237	21.28088	21.06809
Isoform 2 of Pre-mRNA-processing factor 6	PRPF6	24.04435	22.41576	21.91199	22.07944	21.42977	20.83754	21.12012	20.49672	21.76858	21.829	21.11594	21.22341	19.73042	21.23099	21.041	18.62875	20.2118	18.26389	21.64346	21.01798	18.42978	19.08454	17.0554	19.71532	21.10617	20.68246	22.29388	22.62391	20.10995	21.78895	18.92163	19.06212
Isoform 2 of Latrophilin-1	LPHN1	20.82257	21.21629	21.89365	20.90264	20.86443	19.48593	23.24055	24.0219	22.75152	21.9247	21.04639	19.66975	22.62838	20.42064	22.74981	22.93169	24.99553	23.24719	20.50939	22.86712	22.25179	21.76583	23.02242	22.66233	23.11883	24.76703	20.85673	19.47687	22.10348	22.84462	22.88305	23.1181
Endonuclease domain-containing 1 protein	ENDOD1	20.07711	18.34766	18.39264	20.27271	18.7734	20.43755	20.12428	23.62355	19.82828	20.20546	22.01304	19.82861	22.71343	22.64115	21.85468	23.8746	20.84508	21.61084	22.19559	21.58733	22.66043	21.03765	22.84451	23.67135	21.65616	19.68672	21.14564	20.74179	21.72663	21.79943	20.98936	23.07165
"Glutaminase kidney isoform, mitochondrial"	GLS	18.44425	21.73661	24.38108	19.9733	22.12721	20.87093	20.86075	19.36941	19.93105	19.88424	20.49683	23.20163	20.48108	21.05188	20.34907	20.62726	19.59627	21.22888	21.42048	20.59514	20.92477	21.32802	21.21672	21.67682	22.21125	19.77263	20.1052	21.75208	21.2791	21.77289	20.46528	23.20683
Isoform 2 of WD repeat-containing protein 47	WDR47	19.74654	19.69166	23.25717	23.13428	19.93748	24.2094	19.9427	25.10539	24.41807	24.62324	25.50834	25.04429	24.07954	25.17688	24.3597	25.06509	24.06684	24.61187	25.39827	25.63549	24.67102	25.69537	24.99075	25.10029	24.23645	24.97816	24.19434	25.71678	23.28645	25.53508	23.58744	24.71188
AP-2 complex subunit alpha-2	AP2A2	23.7383	23.8283	24.03232	24.39638	24.02299	23.62053	23.88374	25.79588	25.08974	25.19228	25.60538	24.72804	25.19025	25.55624	25.81211	25.92048	24.9403	25.13132	25.92668	25.35751	25.62857	26.24701	25.86773	26.29914	22.35076	24.93793	25.1195	24.87259	25.03084	25.3797	25.43468	26.22993
Isoform 2 of Calsyntenin-1	CLSTN1	25.45732	25.38801	22.38772	22.95116	25.03172	23.67068	26.43237	27.96505	26.99244	26.60229	26.19582	26.01635	27.03671	25.47707	27.81993	27.6041	27.44785	27.43674	27.11737	25.8089	27.62083	27.24129	27.82154	27.25718	26.78847	26.64537	25.16746	25.02282	25.92699	25.39231	26.33695	26.27484
GTP-binding protein Di-Ras1	DIRAS1	22.88719	22.72576	22.61688	24.22509	22.76358	19.6175	18.22984	24.75856	24.28515	24.65614	24.81671	24.70731	24.70057	22.48903	24.67392	25.09383	25.11907	24.26811	24.99459	23.46043	24.56821	25.40175	24.34171	24.71182	21.22724	23.79082	24.53577	24.63982	24.66857	25.32456	24.57684	24.70818
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6	NDUFB6	21.31302	20.59869	22.10751	20.74316	19.94492	20.93398	20.29659	19.93575	20.18923	20.33609	19.72175	21.3332	21.18016	17.85975	21.01713	19.72026	21.61613	20.70396	21.78477	21.35756	21.35058	21.18332	18.70275	20.68858	22.62912	20.95759	21.65128	19.87971	21.34581	19.84412	20.88211	21.47905
Elongator complex protein 1	IKBKAP	22.56474	22.48344	22.68255	23.37378	22.63896	22.23345	24.03945	24.5649	22.37207	21.94046	22.31832	22.44342	21.76943	22.04617	22.29524	21.44447	24.19905	22.43323	21.74982	22.83247	21.9584	22.39251	22.37959	21.18436	23.65561	24.20929	22.19867	22.33403	22.79487	22.23849	21.7171	21.89713
Gamma-aminobutyric acid receptor-associated protein-like 1 (Fragment)	GABARAPL1	20.82873	21.54054	20.44602	22.32595	19.86019	22.87197	22.71663	23.42081	21.3297	18.75354	20.96508	22.22077	21.88189	22.2652	22.82526	21.41484	24.08162	20.61384	20.95474	21.72513	21.28554	23.18159	20.81666	22.03426	23.79675	22.35654	20.25784	22.42393	20.60681	23.57057	20.9025	21.16677
Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4	NDUFB4	23.88271	24.23917	24.08599	24.74848	24.10669	23.99389	23.38695	23.52847	24.42158	23.9218	24.11966	24.72983	24.1559	24.53823	25.14332	24.97263	23.32777	24.47427	24.11866	25.02564	24.66242	24.83917	24.6757	24.87951	23.41283	23.54602	24.39636	24.7827	24.94744	24.83511	24.8076	25.44422
"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial"	NDUFB8	21.224	20.0104	19.62023	20.64164	20.31313	18.88525	21.95328	19.80507	21.59632	21.54458	20.13684	20.65176	21.75001	21.40953	21.27166	21.37609	22.26577	21.50644	21.47764	21.33287	21.69617	18.93094	22.0055	21.63027	21.16565	21.28415	21.49409	21.33274	21.26096	21.57468	21.54656	22.01731
"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial"	NDUFB2	23.65267	21.31052	20.46981	18.27908	20.31772	20.06827	25.9213	26.86454	20.94621	19.19012	20.27344	18.42121	20.81033	20.52875	18.78844	20.94812	26.57167	20.18946	19.62197	19.48158	20.59046	19.18576	20.84743	21.12096	27.31166	26.03142	19.0327	19.06634	20.44496	19.03649	21.12396	22.40913
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	NDUFA7	22.04779	22.28249	22.13308	20.40048	22.26423	18.92087	20.42154	21.15454	21.50616	21.58284	21.60458	21.33471	21.73372	19.4139	21.57873	21.85568	22.08175	21.64447	21.25874	20.85776	21.78787	21.64196	21.81154	21.94159	21.5091	21.77238	21.25451	21.31612	21.44805	20.67198	21.50029	21.88551
Chondroitin sulfate proteoglycan 5	CSPG5	21.20948	23.27853	22.42031	22.52485	23.48996	23.53706	17.88293	23.13938	21.13151	23.17252	23.3078	23.66101	23.70878	24.18953	24.49768	24.57819	20.54893	18.25479	23.80212	23.61975	24.03659	24.96932	24.81359	24.50198	22.08085	22.56288	22.95082	23.04718	23.93911	25.03407	24.90656	24.91758
Isoform 7 of Reticulon-3	RTN3	23.70151	22.79325	24.21109	24.18035	22.01141	24.37816	24.77124	23.85291	23.69526	22.75484	24.57261	24.86175	24.24605	24.63236	24.76362	24.10677	19.54825	22.97095	24.95134	24.78397	23.73646	24.80344	24.55659	24.0165	21.74464	23.11656	23.64717	23.20024	23.62623	23.96073	23.96062	23.43014
"LETM1 and EF-hand domain-containing protein 1, mitochondrial"	LETM1	21.69963	21.29285	22.42931	21.75356	22.11158	21.44955	21.32811	22.89598	22.80469	23.45198	22.6283	22.13697	22.72677	23.07893	23.22253	23.14752	22.40007	22.65556	23.36716	23.23985	23.03812	23.10175	23.73127	24.09282	21.68972	22.18924	23.23523	23.15053	24.30588	22.96218	24.05287	24.12342
Isoform 2 of Sorting nexin-4	SNX4	20.80845	22.7439	21.41231	20.48513	21.83427	21.75342	24.01086	21.37876	19.39501	22.32355	22.0307	19.04911	23.18076	22.12376	18.63444	21.1794	20.03891	21.97481	22.43172	22.12072	22.11372	22.98781	19.16288	21.44783	24.59457	23.68385	21.5552	21.01073	22.08653	23.2535	21.65862	22.33106
Luc7-like protein 3	LUC7L3	22.09383	23.71438	22.16357	20.66127	23.49033	20.23048	20.53313	20.95402	22.21248	20.15111	18.25406	19.0853	19.88102	18.77275	19.19809	20.5944	21.60045	19.6745	20.36708	20.13017	18.36469	20.53574	17.62122	21.81561	22.3584	19.53853	21.10495	21.39166	20.39329	20.25698	20.6728	20.32965
Myotubularin-related protein 5	SBF1	23.85596	23.01497	24.19287	22.45713	23.25457	25.21514	25.24471	25.63159	24.85813	23.23716	25.31549	24.2586	24.78877	24.95225	26.00622	25.33943	26.16929	25.2368	25.07606	25.15108	25.11271	25.47002	25.03419	25.35822	25.78466	25.0449	24.50348	24.17101	24.62819	24.21487	24.24538	25.00122
Vesicle-associated membrane protein-associated protein B/C	VAPB	23.08223	23.01309	23.64106	23.16008	22.53336	23.53065	23.33156	23.74516	23.98267	23.28003	23.55888	21.82278	22.50184	23.95808	23.26885	24.45547	23.84925	23.68153	24.02194	23.57271	24.48262	24.40569	23.91506	25.48181	23.93797	23.52571	23.03222	23.27896	23.89926	23.82534	23.56276	24.65685
SNARE-associated protein Snapin	SNAPIN	19.85149	18.64178	19.87245	20.05416	20.71452	20.89762	21.40005	19.33569	20.33907	21.01079	21.12086	21.47545	20.62658	19.5673	19.7443	16.6481	20.95974	19.22472	18.40464	20.10098	19.57358	21.22929	18.79739	21.09387	20.17012	22.1055	19.88106	21.46966	20.68791	20.30041	20.6344	21.00036
NADH dehydrogenase [ubiquinone] 1 subunit C2	NDUFC2	24.41211	24.68175	23.6534	23.55919	24.74591	24.13437	23.12835	23.08506	23.05159	24.41555	23.69629	23.29384	24.35235	25.26467	24.27573	24.7956	22.76681	24.12491	23.70397	23.85841	25.02172	24.31291	24.48075	24.59549	23.55198	23.41733	23.64427	23.39774	25.0887	25.16009	24.05462	24.81565
"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial"	NDUFA10	24.46582	22.49341	22.81074	23.93136	21.88532	23.79861	19.30243	24.44084	24.05963	23.42039	23.70884	23.90741	24.06372	22.15638	24.76262	23.73489	23.95352	24.18185	23.82764	21.54772	23.37661	23.04521	23.40158	24.48084	20.79476	24.55472	24.13493	24.28167	24.27066	24.44403	24.45069	25.27448
Isoform 5 of CUGBP Elav-like family member 2	CELF2	23.92205	24.65553	23.92914	23.13855	24.94686	22.56586	23.37718	23.00962	24.30135	22.69906	22.86624	23.37668	22.92496	20.04419	20.45195	20.99652	25.64081	24.83136	23.58606	23.71825	23.21712	21.99583	22.29056	23.43091	25.5172	25.54816	26.05853	25.50366	26.25518	25.52818	25.5215	24.89292
6-phosphogluconolactonase	PGLS	27.61202	28.28786	27.77323	27.8511	28.15886	27.79665	27.88594	27.92298	27.98079	28.10726	28.00945	28.20874	28.15947	27.93803	28.50831	26.95176	28.59122	28.11882	27.85381	28.19585	27.80176	27.77951	27.98643	27.01443	28.44046	27.92754	27.41753	27.45715	27.67747	27.77734	27.78526	27.20341
Acyl-protein thioesterase 2	LYPLA2	19.70977	22.63581	22.69064	23.01648	22.68052	22.67598	21.16525	22.60028	23.85377	23.99688	23.87772	22.37611	23.92278	22.44408	20.14669	24.37871	22.72933	23.84501	24.13077	23.9768	24.3544	24.49332	17.70163	19.66168	20.46786	21.29981	23.61936	23.18293	23.93089	23.83952	23.60552	23.70611
Importin-7	IPO7	24.45599	23.3782	22.29148	23.89016	22.87057	22.7911	21.3148	22.3951	24.15288	23.00213	23.6374	23.12706	23.63258	23.26276	24.43418	22.56425	22.84528	23.81108	23.37593	22.5236	22.92981	23.38513	23.62955	23.00706	21.79395	23.21777	23.83323	23.5594	23.9792	23.41264	23.57148	22.54769
Phosphoacetylglucosamine mutase	PGM3	24.78426	24.95883	24.33697	24.40437	24.93156	25.58119	23.98388	26.93352	24.09383	24.37129	23.98	23.52506	24.13507	23.24216	24.19355	23.13146	22.42689	23.73373	23.16587	23.48283	23.322	23.21033	23.58097	23.46448	22.96464	25.12039	22.7641	22.34262	22.73899	23.02516	23.69643	23.60249
Activator of 90 kDa heat shock protein ATPase homolog 1	AHSA1	24.87411	25.15293	24.6163	24.12302	25.16879	24.05788	24.48745	23.67097	25.20901	25.3233	25.55271	24.73118	24.9482	25.1242	25.27635	25.62701	24.5169	24.81086	25.40152	25.6128	25.52115	25.43746	25.43267	25.49209	25.32924	24.14471	25.58698	24.61605	25.2929	24.89972	25.04597	24.53419
